StopName,Routes...
世博大道上南路,177路,陆家嘴旅游环线（世博公园定班）,1118路,浦东100路,陆家嘴旅游环线
世博大道世博馆路,浦东98路,1118路
世博大道南码头渡口,陆家嘴旅游环线
世博大道南码头路,陆家嘴旅游环线,陆家嘴旅游环线（世博公园定班）
世博大道长清北路,陆家嘴旅游环线（世博公园定班）,1118路,浦东100路,浦东98路
世博大道高科西路,177路,浦东100路
世博家园七街坊,浦江18路,浦江17路
世博家园二街坊,浦江18路,浦江17路
世博家园五院门诊部,浦江18路,浦江17路
世博家园十一街坊,浦江18路,浦江17路
世博家园四街坊,浦江18路,浦江17路
世博村路华丰路,1049路,1118路,1048路
世博村路沂南路,1049路,1118路,1048路
世界路国和路,90路
世界路新江湾城,124路
世界路新江湾城625,870路
世界路民京路,90路
世盛路大碾路,嘉定72路
世盛路张肖路,嘉定72路
世盛路汇旺路,嘉定72路
世纪大道丁香路,987路,浦东36路
世纪大道乳山路,陆家嘴金融城2路
世纪大道地铁站,陆家嘴金融城4路,790路,987路,浦东106路,守航夜宵一线
世纪大道浦东南路,01线,隧道夜宵线,隧道三线,985路,隧道六线,陆家嘴金融城2路,陆家嘴金融城4路,992路,798路,陆家嘴金融城3路,795路
世纪大道浦电路,987路,浦东106路
业煌路小机山路,松江97路,松江104路
业煌路置鼎路,895路
业祥路兴南路,闵行14路,闵行13路
业祥路老沪闵路,闵行14路
业绩路城银路,宝山56路
业绩路山连路,宝山85路
业锦路置旺路,895路
业锦路置鼎路,赵巷3路
东三公路塔闵路,1849路
东三村,1849路
东三江口,南东专线
东三路东三村,练塘1路
东三路朱枫公路,练塘1路
东三路沈陶村,练塘1路
东三路泖口村,练塘1路
东三路闵塔公路,松江80路,松江35路区间
东三路陆家浜,练塘1路
东三路高家埭村,练塘1路
东三轮渡,1849路
东义小学,崇明乡村10路
东义桥,南堡二线
东书房路大道站路,浦东73路
东书房路板泉路,161路,784路,83路,604路,浦东80路
东亭路军民路,祝桥3路,浦东3路
东亭路晚霞路,祝桥3路,1005路
东亭路晨阳路,祝桥3路,1005路,浦东3路
东亭路朝晖路,1005路
东体育会路中山北二路,723路
东体育会路赤峰路,723路
东佳路苏召路,浦江5路
东兰兴城,古美环线,150路,120路,205路
东兰新城,548路
东兰路万源路,古美环线,205路,548路,虹桥枢纽1路,120路,150路
东兰路莲花路,古美环线,虹桥枢纽1路,205路,548路,120路,150路
东兰路莲花路（和嘉公寓）,古美环线,虹桥枢纽1路,205路,120路
东兰路虹莘路,古美环线
东兰路龙茗路,548路,120路
东兴路,横沙2路
东兴路站,松江有轨电车2号线,松江有轨电车1号线
东冉路育才路,崇明乡村10路
东力新村,1016路
东升港路广富林路,松江20路
东升港路文翔路,松江20路
东华大学,57路,朱松专线,776路,松江15路
东周家角宅,宝山12路
东团路东厍村,练塘5路
东团路庄严寺,练塘5路
东团路老朱枫公路,练塘5路
东园路银城中路,陆家嘴金融城1路
东圩路东庄村,练塘5路
东圩路蒸浦支路,练塘5路
东场,南隆专线,南隆专线（区间）
东坝,南隆专线,南隆专线（区间）
东城壕路中市街,浦东94路,浦东24路
东城壕路新川路,浦东11路
东城路金洲街,陆家嘴金融城3路
东城路陆家嘴环路,陆家嘴金融城1路
东塘路,313路
东塘路朱家浜,640路,313路,81路
东塘路桂家村,640路,313路,81路
东塘路行南街,313路
东塘路行南路,640路,81路
东塘路马路桥,640路,313路,81路
东塘路高沙滩,313路,640路,81路
东夏村,松江80路,松江23路,松江79路
东大公路万和路,1134路,浦东74路
东大公路万松路,浦东74路,书院2路
东大公路书和路,浦东74路
东大公路南芦公路,新临专线
东大公路四灶村,1063路
东大公路大川公路,1074路
东大公路川南奉公路,浦东74路
东大公路白龙港桥,1063路,临港6路
东大名路丹徒路,135路,37路
东大名路丹徒路(下行东大名路高阳路),330路
东大名路旅顺路,868路,934路,135路,37路,330路,22路
东大名路海门路,868路,934路,134路,22路
东大名路高阳路,37路
东太路南卫路,宝山4路,宝山23路
东安村,南建专线,崇明乡村11路
东安路中山南二路,301路,49路
东安路斜土路,303路,徐闵夜宵专线,49路
东安路斜土路(下行斜土路东安路),218路
东安路肇嘉浜路(下行枫林路斜土路),218路
东宝兴路中兴路,310路,862路,66路,823路,47路
东宝兴路中山北路,310路
东宝兴路芷江中路,310路,862路,66路,823路,47路
东小港路中津桥路,城桥4路
东川公路上川路,浦东13路,浦东67路,浦东15路
东川公路东靖路,浦东67路
东川公路前哨路,989路,浦东13路,630路,1136路,浦东5路,合庆2路,浦东18路
东川公路叶金路,浦东15路
东川公路启明路,浦东67路,浦东15路
东川公路奚阳公路,浦东13路,630路
东川公路庆荣路,浦东13路,浦东5路,630路,浦东38路,合庆2路,浦东41路,合庆1路,浦东18路
东川公路新港东街,630路
东川公路海鹏路,浦东13路,浦东67路
东川公路盛朱路,630路,浦东15路
东川公路胜利路,浦东13路,630路
东川公路跃东路,浦东39路,浦东13路,浦东5路,合庆2路,浦东41路
东川公路跃丰路,浦东13路,浦东5路,合庆2路,浦东38路,浦东41路,合庆1路
东川公路迅建路,浦东13路,浦东15路,浦东67路
东川公路金海路,浦东13路,630路,浦东15路
东川公路锦绣东路,浦东13路,630路
东川公路青暮路,浦东13路,合庆2路,浦东38路,浦东41路
东川公路顾三路,浦东13路,浦东15路
东川公路顾高公路,浦东13路,浦东67路
东川公路高科东路,浦东5路
东川公路龙东大道,浦东13路,630路
东川公路龚丰路,630路
东川公路龚路公路,浦东13路,630路
东川路临沧路,江川1路
东川路华宁路,江川1路
东川路地铁站,闵行26路,闵行35路,江川4路
东川路天星路,452路,江川1路,马桥1路,马桥1路区间
东川路安宁路,闵行16路
东川路文井路,江川1路
东川路永平路,虹桥枢纽4路,江川3路,闵行11路
东川路沧源路,闵行26路,虹桥枢纽4路,958路,闵行11路,闵行29路,江川3路
东川路沪闵路,闵行26路,闵行11路,891路,闵行35路,江川4路
东川路沪闵路（交大新村）,958路,891路,闵行41路
东川路淡水河桥,虹桥枢纽4路,958路
东川路环路,闵行26路,闵行11路
东川路碧江路,江川1路
东川路莲花南路,虹桥枢纽4路,958路,闵行11路,江川3路,闵行41路
东川路虹梅南路,闵行26路,闵行11路,江川3路,闵行41路
东川路轻轨站,江川3路
东川路金平路,闵行16路
东川路龙吴路,闵行41路,956路
东平北路金山大道,金山11路
东平北路龙皓路,金山11路
东平北路龙翔路,金山11路
东平北路龙航路,金山11路
东平北路龙轩路,金山11路
东平南路板桥西路,金山2路,金山11路,金山4路
东平南路龙胜路,金山11路
东平商店,南江专线,崇明乡村2路,堡胜专线
东平河桥,南堡专线
东平路平悦路,崇明乡村10路
东建路东绣路,1021路,819路,浦东4路
东建路锦和路,陆家嘴金融城4路,819路,浦东4路,1023路
东建路锦安东路,浦东4路,1023路
东引路一江山路,城桥5路（区间）,城桥5路
东引路南引河路,城桥5路（区间）,城桥5路
东引路花鸟路,城桥5路（区间）,城桥5路
东新,祝桥2路
东新桥,14路
东新港桥,江平专线
东新路光复西路,36路
东新镇,南堡专线
东方假日,宝山4路
东方国贸,528路,828路,963路,702路,宝山25路
东方国贸水产中心,813路
东方国际水产中心,147路
东方明珠,陆家嘴旅游环线,旅游5线
东方明珠广播电视塔,旅游2线,旅游3线
东方明珠广播电视塔（海洋水族馆）,旅游10线
东方明珠（陆家嘴环路）,旅游8线
