RouteName,Direction,StopCount
307路,下行,21
308路,上行,17
308路,下行,17
309路,上行,14
309路,下行,14
310路,上行,22
310路,下行,22
311路,上行,20
311路,下行,20
312路,上行,21
312路,下行,19
313路,上行,27
313路,下行,28
314路,上行,18
314路,下行,19
315路,上行,20
315路,下行,19
316路,上行,32
316路,下行,30
317路,上行,23
317路,下行,24
318路,上行,17
318路,下行,18
319路,上行,17
319路,下行,18
320路,上行,24
320路,下行,26
321路,上行,16
321路,下行,14
322路,上行,27
322路,下行,26
323路,上行,24
323路,下行,24
324路,上行,15
324路,下行,16
327路,上行,14
327路,下行,8
328路,上行,23
328路,下行,22
329路,上行,22
329路,下行,22
330路,上行,23
330路,下行,23
332路,上行,19
332路,下行,21
338路,上行,28
338路,下行,29
339路,上行,14
339路,下行,14
33路,上行,16
33路,下行,17
340路,上行,22
340路,下行,22
342路,上行,27
342路,下行,27
343路,上行,27
343路,下行,27
345路,上行,29
345路,下行,29
36路,上行,18
36路,下行,16
37路,上行,15
37路,下行,18
405路,上行,26
405路,下行,27
406路,上行,23
406路,下行,24
40路,上行,24
40路,下行,22
41路,上行,22
41路,下行,19
42路,上行,13
42路,下行,12
43路,上行,20
43路,下行,21
44路,上行,28
44路,下行,28
452路,上行,30
452路,下行,27
453路,上行,25
453路,下行,23
454路,上行,14
454路,下行,16
455路,上行,26
455路,下行,27
456路,上行,17
456路,下行,16
457路,上行,19
457路,下行,18
458路,上行,33
458路,下行,30
45路,上行,16
45路,下行,14
46路,上行,19
46路,下行,15
47路,上行,15
47路,下行,16
48路,上行,14
48路,下行,12
49路,上行,18
49路,下行,20
502路,上行,20
502路,下行,21
508路,上行,13
508路,下行,13
50路,上行,13
50路,下行,13
510路,下行,4
519路,上行,20
519路,下行,21
51路,上行,26
51路,下行,30
522路,上行,23
522路,下行,21
527路,上行,28
527路,下行,29
528路,上行,58
528路,下行,52
52路,上行,28
52路,下行,23
537路,上行,23
537路,下行,25
538路,上行,23
538路,下行,22
547路,上行,25
547路,下行,26
548路,上行,26
548路,下行,23
54路,上行,25
54路,下行,26
551路,上行,34
551路,下行,31
552路,上行,25
552路,下行,27
554路,上行,19
554路,下行,23
559路,上行,21
559路,下行,20
55路,上行,29
55路,下行,25
561路,上行,22
561路,下行,23
56路,上行,29
56路,下行,28
572路,上行,21
572路,下行,21
573路,上行,19
573路,下行,20
576路,上行,29
576路,下行,29
577路,上行,26
577路,下行,25
57路,上行,18
57路,下行,17
581路,上行,22
581路,下行,23
581路B线,上行,5
581路B线,下行,5
583路,上行,26
583路,下行,30
58路,上行,21
58路,下行,22
597路,上行,26
597路,下行,24
59路,上行,27
59路,下行,28
604路,上行,20
604路,下行,20
607路,上行,24
607路,下行,27
609路,上行,32
609路,下行,31
60路,上行,21
60路,下行,20
610路,上行,13
610路,下行,17
615路,上行,52
615路,下行,54
61路,上行,22
61路,下行,23
624路,上行,33
624路,下行,31
628路,上行,45
628路,下行,45
629路,上行,11
629路,下行,13
62路,上行,25
62路,下行,27
630路,上行,39
630路,下行,44
636路,上行,38
636路,下行,38
638路,上行,30
638路,下行,29
639路,上行,38
639路,下行,35
63路,上行,33
63路,下行,29
640路,上行,48
640路,下行,48
642路,上行,27
642路,下行,27
64路,上行,20
64路,下行,20
65路,上行,14
65路,下行,14
66路,上行,44
66路,下行,44
67路,上行,14
67路,下行,14
68路,上行,20
68路,下行,21
69路,上行,20
69路,下行,19
6路,上行,16
6路,下行,16
700路,上行,27
700路,下行,25
701路,上行,11
701路,下行,11
702路,上行,25
702路,下行,27
703路,上行,24
703路,下行,25
704路,上行,33
704路,下行,31
705路,上行,30
705路,下行,30
708路,下行,1
709路,上行,14
709路,下行,16
70路,上行,15
70路,下行,17
710路,上行,20
710路,下行,19
711路,上行,23
711路,下行,23
712路,上行,25
712路,下行,24
713路,上行,27
713路,下行,28
714路,上行,22
714路,下行,23
715路,上行,22
715路,下行,21
717路,上行,14
717路,下行,13
718路,上行,19
718路,下行,21
719路,上行,22
719路,下行,25
71路,上行,25
71路,下行,24
71路T2线,上行,7
71路T2线,下行,7
71路区间,上行,31
71路区间,下行,31
720路,上行,23
720路,下行,20
721路,上行,24
721路,下行,25
723路,上行,21
723路,下行,18
724路,上行,13
724路,下行,13
726路,上行,25
726路,下行,26
727路,上行,17
727路,下行,19
728路,上行,30
728路,下行,30
729路,上行,32
729路,下行,35
72路,上行,18
72路,下行,19
730路,上行,16
730路,下行,15
731路,上行,24
731路,下行,26
732路,上行,23
732路,下行,22
733路,上行,18
733路,下行,16
734路,上行,15
734路,下行,16
735路,上行,32
735路,下行,31
736路,上行,20
736路,下行,23
737路,上行,42
737路,下行,42
738路,上行,35
738路,下行,39
739路,上行,28
739路,下行,32
740路,上行,37
740路,下行,38
741路,上行,24
741路,下行,25
742路,上行,23
742路,下行,24
743路,上行,22
743路,下行,21
744路,上行,17
744路,下行,17
745路,上行,25
745路,下行,24
746路,上行,22
746路,下行,21
747路,上行,28
747路,下行,29
748路（71路支线3）,上行,22
748路（71路支线3）,下行,22
749路,上行,20
749路,下行,20
74路,上行,30
74路,下行,31
750路,上行,18
750路,下行,18
751路,上行,20
751路,下行,19
753路,上行,28
753路,下行,28
754路,上行,19
754路,下行,19
755路,上行,28
755路,下行,27
757路,上行,14
757路,下行,18
758路,上行,17
758路,下行,20
759路,上行,22
759路,下行,23
761路,上行,20
761路,下行,23
763路,上行,25
763路,下行,25
764路,上行,21
764路,下行,21
765路,上行,20
765路,下行,22
766路,上行,26
766路,下行,24
767路,上行,24
767路,下行,22
768路,上行,15
768路,下行,15
76路,上行,20
76路,下行,19
770路,上行,19
770路,下行,18
772路,上行,28
772路,下行,28
774路,上行,34
774路,下行,34
775路,上行,19
775路,下行,18
776路,上行,31
776路,下行,31
777路,上行,25
777路,下行,17
778路,上行,19
778路,下行,20
779路,上行,21
779路,下行,22
780路,上行,19
780路,下行,20
781路,上行,10
781路,下行,10
782路,上行,19
782路,下行,19
783路,上行,24
783路,下行,24
784路,上行,15
784路,下行,15
785路,上行,41
785路,下行,40
786路,上行,12
786路,下行,11
787路,上行,35
787路,下行,34
788路,上行,31
788路,下行,31
789路,上行,22
789路,下行,21
78路,上行,24
78路,下行,24
790路,上行,60
790路,下行,58
792路,上行,20
792路,下行,19
794路,上行,29
794路,下行,29
795路,上行,23
795路,下行,26
796路,上行,27
796路,下行,29
798路,上行,22
798路,下行,22
799路,上行,19
799路,下行,18
79路,上行,17
79路,下行,19
801,上行,11
801,下行,11
802路,下行,28
803路,上行,27
803路,下行,26
804路,上行,27
804路,下行,24
805路,上行,15
805路,下行,15
806路,上行,32
806路,下行,34
807路,上行,16
807路,下行,19
808路,上行,26
808路,下行,25
809路,上行,22
809路,下行,22
80路,上行,17
80路,下行,17
810路,上行,24
810路,下行,25
811路,上行,20
811路,下行,20
812路,上行,30
812路,下行,33
813路,上行,34
813路,下行,34
815路,上行,7
815路,下行,8
818路,下行,15
819路,上行,33
819路,下行,33
81路,上行,30
81路,下行,30
820路,上行,11
820路,下行,18
821路,上行,9
821路,下行,10
822路,上行,30
822路,下行,30
823路,上行,22
823路,下行,23
824路,上行,24
824路,下行,24
826路,上行,20
826路,下行,20
827路,上行,21
827路,下行,23
828路,上行,30
828路,下行,31
82路,上行,21
82路,下行,22
830路,上行,25
830路,下行,25
832路,下行,6
833路,下行,7
834路,上行,20
834路,下行,20
836路,上行,26
836路,下行,27
837路,上行,26
837路,下行,25
838路,上行,23
838路,下行,27
839路,上行,19
839路,下行,19
83路,上行,17
83路,下行,17
840路,上行,10
840路,下行,9
841路,上行,16
841路,下行,16
842路,上行,22
842路,下行,21
843路,上行,41
843路,下行,40
845路,上行,26
845路,下行,28
846路,上行,16
846路,下行,16
849路,上行,18
849路,下行,18
84路,上行,12
84路,下行,15
850路,上行,23
850路,下行,22
851路,上行,30
851路,下行,31
853路,上行,17
853路,下行,18
854路,上行,24
854路,下行,24
855路,上行,21
855路,下行,19
855路区间,下行,17
856路,上行,18
856路,下行,19
858路,上行,19
858路,下行,24
859路,上行,21
859路,下行,23
85路,上行,22
85路,下行,22
860路,上行,10
860路,下行,12
862路,上行,16
862路,下行,17
864路,上行,10
864路,下行,12
866路,上行,4
866路,下行,4
867路,上行,32
867路,下行,32
868路,上行,25
868路,下行,22
869路,上行,24
869路,下行,18
870路,上行,21
870路,下行,21
871路,上行,25
871路,下行,26
872路,上行,31
872路,下行,32
873路,上行,28
873路,下行,29
874路,上行,32
874路,下行,29
875路,上行,25
875路,下行,25
876路,上行,35
876路,下行,37
877路,下行,7
878路,下行,5
879路,下行,11
87路,上行,23
87路,下行,22
880路,下行,2
881路,上行,24
881路,下行,25
882路,上行,30
882路,下行,29
883路,上行,20
883路,下行,20
885路,上行,26
885路,下行,25
886路,上行,28
886路,下行,28
887路,上行,10
887路,下行,12
889路,上行,29
889路,下行,30
88路,上行,20
88路,下行,27
890路,上行,33
890路,下行,33
891路,上行,19
891路,下行,20
892路,上行,27
892路,下行,27
895路,上行,25
895路,下行,27
898路,上行,15
898路,下行,16
89路,上行,28
89路,下行,32
8路,上行,13
8路,下行,13
909路,上行,20
909路,下行,18
90路,上行,26
90路,下行,22
911路,上行,31
911路,下行,28
912路,上行,23
912路,下行,24
915路,上行,8
915路,下行,7
91路,上行,29
91路,下行,30
923路,上行,31
923路,下行,31
926路,上行,17
926路,下行,23
927路,上行,10
927路,下行,23
929路,上行,23
929路,下行,22
92路,上行,27
92路,下行,25
930路,上行,14
930路,下行,14
932路,上行,21
932路,下行,25
933路,上行,22
933路,下行,23
934路,上行,24
934路,下行,23
937路,上行,38
937路,下行,39
939路,上行,14
939路,下行,13
93路,上行,24
93路,下行,22
941,上行,7
941,下行,5
941路,上行,25
941路,下行,22
942路,上行,22
942路,下行,22
944路,上行,33
944路,下行,32
946路,上行,23
946路,下行,24
947路,上行,17
947路,下行,17
948路,上行,19
948路,下行,17
94路,上行,19
94路,下行,20
951路,上行,18
951路,下行,19
955路,上行,28
955路,下行,24
956路,上行,30
956路,下行,30
957路,上行,31
957路,下行,29
958路,上行,34
958路,下行,34
959路,上行,20
959路,下行,24
95路,上行,32
95路,下行,26
960路,上行,24
960路,下行,22
961路,上行,69
961路,下行,65
962路,上行,17
962路,下行,20
963路,上行,31
963路,下行,28
966路,上行,30
966路,下行,30
969路,上行,25
969路,下行,26
96路,上行,20
96路,下行,17
970路,上行,29
970路,下行,31
971路,上行,29
971路,下行,32
973路,上行,29
973路,下行,27
974路,上行,36
974路,下行,36
975路,上行,20
975路,下行,19
976路,上行,18
976路,下行,18
978路,上行,16
978路,下行,19
97路,上行,10
97路,下行,13
980路,上行,24
980路,下行,27
981路,上行,22
981路,下行,20
984路,上行,17
984路,下行,19
985路,上行,14
985路,下行,16
986路,上行,41
986路,下行,42
987路,上行,35
987路,下行,35
988路,上行,23
988路,下行,21
989路,上行,31
989路,下行,30
98路,上行,25
98路,下行,25
990路,上行,22
990路,下行,22
992路,上行,44
992路,下行,45
99路,上行,20
99路,下行,23
七宝2路,上行,14
七宝2路,下行,14
七宝2路区间,下行,14
万祥2路,上行,15
万祥2路,下行,13
三林1路,上行,15
三林1路,下行,13
上嘉线,上行,17
上嘉线,下行,17
上奉专线,上行,47
上奉专线,下行,47
上松夜宵线,上行,2
上松夜宵线,下行,2
上石线,上行,25
上石线,下行,25
上青线,上行,33
上青线,下行,33
临港10路,上行,19
临港10路,下行,19
临港11路,上行,13
临港11路,下行,12
临港12路,下行,1
临港13路,上行,24
临港13路,下行,23
临港2路,上行,18
临港2路,下行,15
临港4路,上行,14
临港4路,下行,12
临港6路,上行,12
临港6路,下行,12
临港7路,上行,25
临港7路,下行,26
临港7路B线,下行,12
临港8路,上行,29
临港8路,下行,25
临港中运量1号线,上行,13
临港中运量1号线,下行,13
临港中运量2号线,上行,11
临港中运量2号线,下行,11
临港中运量3号线,上行,5
临港中运量3号线,下行,5
乐张专线,上行,7
乐张专线,下行,7
乐松专线,上行,4
乐松专线,下行,6
书院2路,上行,21
书院2路,下行,21
亭卫专线,上行,16
亭卫专线,下行,16
亭卫专线B线,上行,34
亭卫专线B线,下行,34
亭林1路,上行,31
亭林1路,下行,31
亭林5路,上行,15
亭林5路,下行,5
亭梅线,上行,3
亭梅线,下行,3
六灶2路,上行,14
六灶2路,下行,13
北蔡1路,上行,16
北蔡1路,下行,14
北蔡2路,上行,17
北蔡2路,下行,17
华新1路,上行,21
华新1路,下行,22
华新2路,上行,13
华新2路,下行,14
华新4路,上行,23
华新4路,下行,22
华新6路,上行,26
华新6路,下行,26
华新7路,上行,17
华新7路,下行,20
华新8路,上行,23
华新8路,下行,21
华漕5路,上行,13
华漕5路,下行,12
南东专线,上行,26
南东专线,下行,26
南临专线,上行,46
南临专线,下行,45
南南线,上行,32
南南线,下行,33
南团快线,上行,37
南团快线,下行,37
南园1路,上行,13
南园1路,下行,13
南堡专线,上行,23
南堡专线,下行,9
南堡二线,上行,31
南堡二线,下行,31
南堡快线,上行,12
南堡快线,下行,12
南建专线,上行,39
南建专线,下行,39
南新专线（崇明巴士）,上行,27
南新专线（崇明巴士）,下行,27
南松专线,上行,46
南松专线,下行,46
